Question,Answer,Class
मी माझी फ्लाइट कशी बुक करू?,तुम्ही खालीलपैकी कोणत्याही पद्धतीने नवीन बुकिंग करू शकता www.airindiaexpress.in वर सीट ऑनलाइन खरेदी करा काउंटरवरून खरेदी करण्यासाठी एअर इंडिया एक्सप्रेसच्या विमानतळावर किंवा शहरातील कार्यालयात जा. आमच्या मान्यताप्राप्त ट्रॅव्हल एजंटपैकी एकाला भेट द्या. तुम्ही आमच्या 24x7 कॉल सेंटर @ 0091-44-40013001 द्वारे देखील बुक करू शकता.,बुकिंग
मी एका वेळी जास्तीत जास्त किती जागा बुक करू शकतो?,"तुम्ही प्रौढ आणि लहान मुलांसह एकाच बुकिंगमध्ये नऊ प्रवासी बुक करू शकता. ग्रुप बुकिंगसाठी कृपया आमच्याशी संपर्क साधा, कारण विशिष्ट अटी वेळोवेळी बदलत असतात.",बुकिंग
मी माझ्या बाळासाठी सीट कशी बुक करू शकतो?,लहान मुलांसाठी सीट बुक करणे हे आमच्या संपर्क केंद्रातून किंवा एअर इंडिया एक्स्प्रेसच्या परदेशातील कार्यालयांमधून मुलाच्या श्रेणी अंतर्गत बुकिंग करण्याची विनंती करून करता येते.,बुकिंग
माझे तिकीट एका ट्रॅव्हल एजंटकडून खरेदी केले होते. मी airindiaexpress.in वर माझा प्रवास बदलू शकतो का?,"होय, तुम्ही आमच्या वेबसाइट www.airindiaexpress.in वर माझे बुकिंग व्यवस्थापित करा या विभागांतर्गत तुमचे बुकिंग बदलू शकता.",बुकिंग
मी माझ्या तिकिटासाठी ऑनलाइन पैसे कसे देऊ शकतो?,"तुम्ही क्रेडिट कार्ड, डेबिट कार्ड किंवा नेट बँकिंग वापरू शकता. एकदा पेमेंट यशस्वीरीत्या पूर्ण झाल्यानंतर, तुम्हाला दिलेल्या पेमेंटच्या तपशीलासह मेलद्वारे प्रवासाची पावती मिळेल.",बुकिंग
मी स्वत: प्रवास करत नसल्यास मी माझ्या क्रेडिट कार्डने ऑनलाइन तिकीट बुक करू शकतो का?,"जर तुम्ही तुमच्या क्रेडिट कार्डने ऑनलाइन बुकिंग करत असाल, परंतु तुम्ही प्रवास करत नसाल, तर तुम्ही ज्या प्रवाशासाठी तिकीट बुक केले आहे त्यांनी खालील गोष्टी सोबत बाळगणे आवश्यक आहे: अ. कार्डच्या दोन्ही बाजूंची छायाप्रत, ज्या कार्डधारकाने तिकीट खरेदीसाठी क्रेडिट कार्डचा वापर करण्यास अधिकृत करून स्व-प्रमाणित केले पाहिजे. कृपया कार्डच्या प्रतीवर CVV क्रमांक टाका. छायाप्रतीमध्ये प्रवाशाचे नाव, प्रवासाची तारीख आणि ज्या सेक्टरवर प्रवास केला आहे ते असावे. उपरोक्त दस्तऐवज चेक-इनच्या वेळी सादर केले पाहिजेत. जर एखादा प्रवासी या अटीचे पालन करण्यात अयशस्वी ठरला, तर आम्ही बोर्डिंग नाकारण्याचा आणि त्याचे/तिचे तिकीट रद्द करण्याचा अधिकार राखून ठेवतो.",बुकिंग
जेव्हा मी एअर इंडिया एक्सप्रेस फ्लाइटमध्ये सीट बुक करतो तेव्हा मला तिकीट मिळते का?,"एअर इंडिया एक्सप्रेस पारंपारिक तिकिटांऐवजी पेमेंट तपशीलांसह प्रवासी पावत्या (ITR) जारी करते. वेब-आधारित बुकिंगसाठी प्रवासाची पावती ऑनलाइन उपलब्ध आहे. ग्राहक त्यांचे आयटीआर त्यांच्या नोंदणीकृत ई-मेल आयडीवर मेल करू शकतात. एअरलाइन्स ऑफिस किंवा ट्रॅव्हल एजंटद्वारे बुक केल्यावर, बुकिंगसाठी पैसे भरल्यानंतर एअरलाइन ऑफिस किंवा ट्रॅव्हल एजंटद्वारे तुम्हाला ITR सुपूर्द केला जाईल.",बुकिंग
मी एअर इंडिया एक्सप्रेसचे ओपन-डेट तिकीट खरेदी करू शकतो का?,नाही. सर्व निवडलेल्या क्षेत्रांना विशिष्ट फ्लाइट्ससाठी बुक करणे आवश्यक आहे. पेमेंट केल्यावरच बुकिंग पूर्ण होते.,बुकिंग
जर मला पुढील २४ तासांत एअर इंडिया एक्स्प्रेसने उड्डाण करायचे असेल तर मी काय करावे?,तुम्हाला पुढील २४ तासांत प्रवास करायचा असेल तर - ट्रॅव्हल एजंट किंवा संपर्क केंद्राद्वारे फ्लाइट सुटण्याच्या ३ तास अगोदर बुकिंग करता येईल. www.airindiaexpress.in वेबसाइट हे लक्षात घ्यावे की चेक-इन काउंटर फ्लाइट सुटण्याच्या 60 मिनिटे आधी बंद होतात.,बुकिंग
मी माझ्या बुकिंगसाठी पैसे कसे देऊ?,"तुमच्या एअर इंडिया एक्सप्रेस बुकिंगसाठी पैसे देण्याचे चार मार्ग आहेत: ऑनलाइन बुकिंग आम्ही स्वीकारतो: i) क्रेडिट/डेबिट कार्ड्स ii) नेट बँकिंग. एअर इंडिया एक्सप्रेस सिटी किंवा विमानतळ कार्यालयात बुकिंग आम्ही स्वीकारतो: i) रोख ii) क्रेडिट/डेबिट कार्ड. आमच्या 24x7 संपर्क केंद्राद्वारे बुकिंग करणे आम्ही स्वीकारतो :i) क्रेडिट/डेबिट कार्डे ii) एअर इंडिया एक्स्प्रेसने मान्यताप्राप्त ट्रॅव्हल एजंटसह Payzapp बुकिंग, कृपया तपशीलांसाठी वैयक्तिक एजंटचा संदर्भ घ्या.",पेमेंट
